,mval_ 0,mval_ 1,mval_ 2,mval_ 3,mval_ 4,mval_ 5,mval_ 6,mval_ 7,mval_ 8,mval_ 9,mval_10,mval_11,mval_12,mval_13,mval_14,mval_15,mval_16,mval_17,mval_18,mval_19,mval_20,mval_21,mval_22,mval_23,mval_24,mval_25,mval_26,mval_27,mval_28,mval_29,mval_30,mval_31,mval_32,mval_33,mval_34,mval_35,mval_36,mval_37,mval_38,mval_39,mval_40,mval_41,mval_42,mval_43,mval_44,mval_45,mval_46
11,2070.92557402,2078.61167736,3608.05130961,2082.78606983,1992.62777428,2001.40630518,40733.3290943,3648.7791144,2096.49972978,225682.568564,88748.3487983,-171808.416355,-37231.5543577,2144.63796841,2093.98801646,2196.59353319,1994.25057246,1968.56343901,1983.71058897,2010.85188014,2030.5828385,2059.26659403,2099.86260287,2100.09004721,-72290.986095,-1034560.44354,409137.911173,265237.84095,1155306.56209,2068.49696461,2091.5531762,2122.0706331,2071.09785999,2116.69279916,-61481.4322596,156724.690948,166787.23675,135412.321075,1956.99479736,2060.39324832,1989.08805058,2018.84214324,2001.94814707,2029.28328919,2074.54971058,2099.79781265,2099.67194899
12,2120.78703325,2148.1501264,3698.41295289,2111.13981994,2035.95916185,1985.53913025,39779.9948154,3528.10821248,2064.50591541,-262943.0119,-252822.948714,-95647.163785,-31496.133032,2128.78226123,2109.44108342,2117.92171084,1989.23063957,2007.60160891,1975.95796899,1971.82255407,2081.84469145,2109.62134046,2172.14327103,2066.96480153,-685877.655552,377176.43473,141240.525275,257807.129449,-263155.447933,2093.49014174,2113.82711777,2131.79767875,2025.64241326,2133.98212876,-75153.7509585,242754.0783,215406.421455,197552.945292,1975.35947604,2008.81011441,2019.28852794,2049.71179716,1980.69586739,2038.67534765,2118.9248898,2104.42072138,2033.78846981
13,2127.88396732,2145.16819376,3759.70495285,2090.94944441,2062.35884392,1960.33615283,37894.2849092,3479.90412664,2109.70777993,13403.1042383,-141894.957851,121956.786282,-93898.5386124,2088.66671285,2127.47040091,2073.17458568,1994.53751726,1988.43663071,1967.55875897,1989.74473485,2091.11945386,2110.17186844,2147.13981928,2064.6130062,-93555.4119435,317674.417969,-87003.1332456,246579.606132,791084.936517,2117.21182307,2067.24666174,2161.69469507,2123.32768589,2173.59297266,-73615.3233076,-74752.0535634,3304991.58796,-794169.283977,2048.92088554,2062.95618871,2015.92215531,2025.09631989,2084.39728202,2090.85414299,2174.74771454,2087.49337767,2049.66822885
14,2114.81628081,2156.13832543,3643.69533578,2032.91717928,1999.87731912,1918.21366347,37129.8519105,3478.45130722,2118.60158152,602444.10884,40289.3808484,6967.82532377,99078.0865738,2038.92267602,2135.7758949,2107.41671637,2029.19221266,2015.55999274,1998.81656016,2043.92823509,2035.37486172,2074.98531206,2106.14631307,2136.35573835,-33695.2701568,-78038.8118972,-358605.84196,158256.869918,-1900893.05981,2134.91777226,2098.48980226,2094.7888283,2137.99884196,2130.83601149,-100405.854849,-40936.6164233,130658.112669,-129940.672086,2040.15512343,2035.01263921,1935.96496379,1987.86500407,2059.86404666,2060.73546849,2186.42560319,2110.80945182,2078.31367256
15,2118.05482874,2133.96022877,3478.18275163,2037.81981388,2013.80698065,1954.81488407,37920.6294884,3411.89264268,2089.92011705,311568.508695,76115.0406641,-21715.0807431,49457.0292202,2091.3562232,2115.93294341,2073.36992074,2063.81267047,2039.67287133,2030.40716168,2003.07199608,2042.30224976,2039.16369837,2092.2562845,2128.80107688,-94938.7384765,-887163.488545,-117242.895252,-1126435.16865,18124.608925,2056.29287775,2137.01861303,2098.95388491,2101.59361199,2117.06845343,-43078.2323061,-30580.8044604,-236918.080525,-161998.963353,2036.62037947,1976.94903279,1958.2088287,2045.55721347,2033.29045493,2041.39438462,2143.11925301,2098.7475023,2067.49620614
16,2052.09154804,2069.17694042,3489.06029216,2070.85768564,2075.22189948,1998.80087474,39108.5312019,3456.68962548,2055.53972725,698880.598744,-292568.985467,107491.40804,65598.1764098,2149.04579295,2058.69153929,1994.92536604,2005.99213581,2067.04709819,2000.61720227,1992.62023,2046.4181324,2009.71946386,2072.7631008,2105.97423891,-113781.849208,6873165.80854,51163.2985352,-315020.164021,-25634.862518,2028.78080095,2099.89709493,2117.38113835,2088.60519544,2168.73689674,-69160.6785534,-50309.095212,155763.441383,178595.441795,2056.79523071,1943.87731361,2052.8980368,2063.63706137,2081.00244754,2119.83558431,2064.2889287,2058.07963789,2085.74380087
17,2016.46972947,2110.69630794,3618.9577417,2033.6233792,2026.54530774,1985.04010719,39974.6027993,3554.30142024,2004.4463652,202506.697122,-122385.103639,36487.2938532,47640.6190385,2102.91802804,2058.16347958,2065.23620741,1991.25078566,2062.41386597,1974.2822384,2003.51539259,2041.65942431,2077.04720214,2124.15369029,2090.13607724,-407087.600999,285236.894709,-193429.686135,-62822.4555646,141758.507018,2071.90577089,2090.76452033,2049.74686932,2073.05164939,2131.41315711,75040.4517375,-67011.8176789,-4494945.70371,-8664559.48135,2061.65507609,1990.24922609,2082.30266295,2052.3131003,2115.56630406,2108.5719598,2035.5405238,2104.31858493,2124.0614572
18,2040.52045564,2114.66334182,3519.28081173,2058.04585035,1952.44073613,2000.99245109,40038.3245451,3596.26099056,2067.60674299,169559.793746,2277.98725811,145663.947673,31477.4547862,2060.32636577,2034.25339088,2112.51042608,2021.31839437,2089.11259599,1979.3052218,1933.77983916,2068.45464839,2142.25837771,2129.65245144,2070.43006851,139391.219754,-558883.970314,-111211.406525,-2324576.71697,97781.6965283,2090.21883952,2080.99428567,2047.73968878,2078.03370521,2108.24942802,8270755.8685,-44682.7848941,-21564.4806846,-1179441.56384,2061.19665909,2060.26623038,2002.86607388,2019.91207131,2118.49954298,2042.55753073,2085.07222899,2097.95568274,2060.10843989
19,2143.28580426,2063.72069844,3436.23738667,2101.09489958,2033.08406188,1980.98279535,39251.8952991,3627.16581588,2088.28261184,631839.143611,-124869.866804,-731171.988899,61978.9223458,2094.44748668,2054.17645571,2101.73666202,2035.8140792,2072.88638538,2028.75615771,1939.40666383,2043.23905725,2122.59746361,2115.34873882,2080.09199171,-3071424.74554,614866.463175,175884.073305,-635971.698524,132562.200313,2090.50463712,2094.72928001,2072.26057817,2113.51537443,2095.73986575,-353938.461686,-71006.0543539,-67092.4942834,148908.536812,1989.54331483,1993.30150548,1956.97580565,1995.41080903,2106.91891841,2053.5152287,2086.15916245,2043.47556376,2048.48512074
20,2163.6486366,2073.07735296,3543.86637321,2116.23002548,2070.48729928,1963.23769083,38763.7900414,3570.36770601,2117.49005723,56234.8921815,-693366.748035,2094021.2204,-68899.2872233,2106.91273742,2046.94351176,2065.96432925,2053.8556466,2004.87893773,2084.1683604,1986.83325317,2018.12411058,2069.93528029,2080.14944292,2063.51202118,175825.616316,832634.244556,110846.499326,73078.794533,54985.9896698,2073.15548538,2136.41158071,2111.31461964,2085.14017103,2064.60405361,120687.471838,-120268.100987,40248.9548163,-36872.4123087,1989.4193154,1982.21292737,1998.93159873,2019.33826518,2104.51154519,2126.5378385,2086.23995928,2074.12705883,2090.79302255
